,date,isEdited,developerResponse,review,rating,title,userName,app
0,2020-09-30 10:13:55,False,"{'id': 18242128, 'body': 'Hi DGuna, you’ll not be able to cancel your order after placing it - this is because the restaurant would have started preparing your food after they have accepted your order. If you’ve entered the wrong address and the change in address isn’t too far, do reach out to your delivery partner via call or GrabChat to ask if s/he is willing to accommodate the change in address. Please note that unless your Driver has agreed via the chat or call to accept the change of address, the address will remain as what you have indicated in the app. \n\n', 'modified': '2020-10-03T01:46:05Z'}","Used to be a good app been using for years, now pools orders sending poor drivers in circles and baiting customers with artificial delivery time. 

2 orders today and both messed up, 1 with half the drinks spilt over the food and the other delayed, because platform decided to pool orders. Called customer service for the 2nd one to ask if I could change the location as I had to leave, they directed me to arrange with the driver. Called the driver - says did not receive permission to modify location from customer service.

Poor drivers so stressed not being able to meet clearly impossible timings app promised its customers to bait their orders. Customers not able to plan their time cos app doesnt respect their time. Am a platinum member too so dont kid yourself thinking service improves with increased use/ loyalty. Better luck with foodpanda, deliveroo or other more reliable companies.",5,Poor customer service,DGuna,GrabFood
1,2020-08-21 18:54:09,False,"{'id': 17498565, 'body': 'We’re sorry that you’ve had to wait longer than expected for your food. Our drivers do their best to deliver your food in the shortest time possible, but there may be unexpected issues during the delivery process.\r Contact your driver via GrabChat or voice call, if your order hasn’t reached you within a reasonable period past the stated time of arrival. Thank you! \n\r\n', 'modified': '2020-08-26T00:47:24Z'}","Grab app is convenient because you can use multiple services. They are enjoying being dominant provider of food and ride services but they are missing something which is costumer satisfaction, if you follow this path you are gonna have collective unhappy customers ready to switch to other providers the moment they come in. My problem is they actually don’t look at the problems you are facing! Positive review is good but a negative review is gold for you to see the issues. I had many with grab but particularly about delivery sequence! I was never reached by a grab representative about anything!!! When the restaurant I ordered food is just 10 mins away and I am prompted That my food will come in a short notice,I planned my whole afternoon for that particular time before I leave house but what happened is I had to wait 2 hours for the food because they will frequently change the timing of my food’s arrivalI. Is a 10 min drive the best Route in your sequence or 2 hours ?Not to mention my meeting overrun with my ID and he needs to leave me coz I was late. In my case i am only one more unhappy experience away from deleting app and have a peace of mind from all the inconvenience. Writing a LONG negative review is also very inconvenient!",1,Naughty kid of the family.,Tkmadyrt1,GrabFood
2,2020-11-18 12:31:25,False,"{'id': 19234485, 'body': 'Hey there, thank you for taking precious time to share your feedback with us! We will definitely take these into consideration for future promotional campaigns / and loyalty program.\n', 'modified': '2020-11-20T06:32:08Z'}","I used to love the subscription plans that they offered but after they removed the crucial grabfood plans, they are the most expensive services with bad customer service care. They portray that they are improving the app to meet user’s needs but the truth is the services provided are just getting more expensive while loyal users get lesser benefits. Platinum benefits used to be $1 - 10points, now it’s $1-4points. With a minimum order of $8-$10 for any food order as well as “service fees” that cover up the cost to hit a minimum of $8-10. Ordering 1 $3 bubble tea will cost you up to $10 with delivery fees ranging from $2-$5 based on what time you ordered. Previous plans that made it reasonable offered free delivery for orders above $10 seemed reasonable and encouraged users to be loyal to Grab. Right now Grab has so many riders and drivers but they are being paid the least out of all other services. Please consider other applications and services for food and transport such as foodpanda and Gojek who actually care about their customers. They are slowly implementing loyalty benefits that will be much better than what Grab is offering so please for those who see this, consider another service provider.",1,Unreasonable prices,deezmonster,GrabFood
3,2021-11-06 05:17:08,False,"{'id': 26357745, 'body': ""Hi there, we're very sorry to hear about this. It would be great if you can drop us a note on Facebook via m.me/Grab so that we can assist you better. Thank you!"", 'modified': '2021-11-19T06:58:26Z'}","I ordered a grabfood and one of the 3 items are missing. When I click the ‘Contact Grab’ button there’s an option to report missing items. When I go into the page instead of being presented with a form to fill, I have to click another link. Weird, but fine, I clicked it. There’s another page with a long texts and a section to fill in description. Said I need a screenshot. But I didn’t find any options to upload. I thought anyway, this is it so I started typing and I submit the report. I thought, that’s it. Boy was I wrong. When I later browse my order history again, I realized that in the second page there’s ANOTHER link to click to report missing item. Only then there finally is a page to provide details and select the missing item and photo. Grab rep, C’MON!! 3 clicks to do this?? The first time around it should have taken me to the form to fill in the details but you buried it in 3 LINKS?? Are you trying to make it difficult for us to report an issue?? Very bad user experience design, of course unless you do that on purpose. Which is bad customer service, or just bad intent. So which is it, Grab?",1,Customer support section need revamp,arieandika,GrabFood
4,2021-09-26 11:54:28,False,"{'id': 25385521, 'body': 'Hi there, that’s not the experience we want you to have. Possible to drop us a note on Facebook via m.me/Grab so that we can assist? Thank you!', 'modified': '2021-09-29T06:15:00Z'}","This platform gives too much power to restaurants and riders, at the expense of us, the users. Restaurant (Din Tai Fung) and the app quoted 50 minutes wait time to lure us into ordering, only to then bump it up to almost 120 minutes because the “kitchen is busy”. Rider cancels the order because he too, has been tricked into waiting by the restaurant’s original timing. Does the app try to help you find another rider? Maybe, if you believe what it says. But if it can’t, guess what, the order you’ve spent close to 90 minutes waiting for will just be cancelled. Still want your food? Make another order and wait 50 minutes (if that is even the real waiting time still, or just another lie). Wish to make your grievance known? The service recovery you’ll get is a voucher, and a promise to surface the issues with the relevant teams. How many times have users been the victim of such horrible restaurants, with no recourse? How many times have such issues been supposedly “surfaced” after user complaints, to no avail? Grab Transport and it’s other services may still be OK for now, but do yourself and your sanity a favour, and stay away from GrabFood.",1,Stay away from GrabFood,Quin Murray,GrabFood
5,2020-11-24 07:37:41,False,"{'id': 19344569, 'body': 'We are so sorry for the experience. In cases where the rider takes up a group order job, the jobs assigned to him/her should be in a sequence where it will not disrupt the ETA. In this case, please reach out to us via the Help Centre or our social media platforms so that we can take a closer look at what happened in this order. Thank you.', 'modified': '2020-11-25T11:30:22Z'}","I ordered food at 1.27pm (past peak lunch period) and it only arrived after close to 2h wait, cold and soggy at 3.15pm. The restaurant wasn’t far, about 5km away. This was because of grouping of orders to be “efficient” which meant that the rider would take at least double the time stated on the app - 40 min. It is ok to group orders if the orders are really in the same estate. That makes sense. But not in completely different neighbourhoods, for the same delivery fee. Grouping orders are ok if 1) same estate, 2) reduced fee for dramatically increased wait, 3) told upfront if customers are ok with the risk of grouping orders. Customers should have the choice to not have orders grouped together since they’re paying for one order / delivery based on the estimated time taken reflected in the app, not for multiple deliveries and a ridiculous wait time. Take a lesson from Grabshare where prices are less cos of the wait. Not grouping orders based on one order per delivery prices. This was not the first time it happened. Please improve the product to make grouped orders clearer upfront so that consumers are aware and have the choice. Thanks.",1,Grouping of grab food orders to be transparent upfront,Whitegreyblack,GrabFood
6,2021-10-01 05:40:41,False,,"Grab being a dominant player in the market has started to manipulate this power it possesses. Service quality has deteriorated tremendously. Food orders, if unable to be completed, would be suddenly cancelled last minute or a few minutes before the designated delivery time without any form of compensation, leaving you stranded. Delivery timings have also lengthened and have frequently been unreasonable where orders can take up to 1 and a half hour to reach, sometimes not even appearing after the long duration. Do consider wisely before using this platform for it has slowly been plagued with complacency and poor customer service after competitors like Uber have left the market. If you would like to experience frustration free deliveries, other platforms might in fact be more ideal where platforms like FoodPanda and Deliveroo are much more punctual in terms of delivery timings bad offer better prices. Compensations are also made if any mishaps would to happen in the delivery process unlike Grab which has slowly distant itself from the users, prioritising its own gains above others.",1,manipulation of market power,fishsoup111111,GrabFood
7,2020-09-20 05:40:38,False,"{'id': 18010172, 'body': 'Hi there Hfflpffr, we hear your feedback and we assure you that we are continuously seeking to improve our system and services. Thank you.- Mary ', 'modified': '2020-09-22T01:00:31Z'}","I’ve been using Grab ever since Uber’s gone years ago and now i feel like its getting worse but not to a point where i could delete the app. The grabcar kept giving me drivers who were making a stop first two blocks away however, it took more than 10mins at least for me to wait even on the days i’m in a rush to work. I kept canceling becos i need a rider quickly but after i cancelled, it took quite some time to find another rider therefore i had to resort to another app which is more surprisingly effective eventhough i want to to support Grab. And also, holding of the money. Yes, it will give us back but, could’ve hold the money AFTER getting a ride not before and cancelling a ride that’s not favorable to the passengers shouldn’t be a hassle.",5,Never had this before.,Hfflpffr,GrabFood
8,2021-09-23 05:13:46,False,"{'id': 25385393, 'body': 'Hi there, that’s not the experience we want you to have. Possible to drop us a note on Facebook via m.me/Grab so that we can assist? Thank you!', 'modified': '2021-09-29T06:07:32Z'}","I order Starbucks today and The main drink I want is Dark Mocha Frap, but bcoz of small order fee, I order some others drinks and cake. But they missed out the main drink Dark Mocha Frap, Grab Customer service was fast to refund as I’m using grab pay. The most disappointed part is they refund exactly the drink fee 7.50$ which may think like proper customer service, but my most wanted item was not delivered and so if I want to order again, **** I need to spend over 10$ again to avoid small order fee + delivery fee + my waiting time and this disappointment! **** 
Refund is not the solution, you need to think what is the impact that caused to customer. You need to think from customer point of view! 

This kind of issues happened to me before also, but I did not mind like today & I thought Grab would have think about that, but not today, my main drink that I wanted the most was missed out and really really disappointed on this Grab Refund Services. I really want to reorder again but I will not use Grab Service.",1,Grab Food Missing items refund issue,eieiaung,GrabFood
9,2020-12-12 16:53:31,False,"{'id': 19774057, 'body': 'Thank you for your feedback and for letting us know about your user experience. We will feedback this to the relevant team for future improvements! \r\n', 'modified': '2020-12-15T08:43:17Z'}","Waited for a good one hour trying to find a driver despite being a platinum member, price went up from $23 to $30 in the meantime. Prices are ridiculously expensive and the waiting time for drivers is extremely slow despite being a platinum member. Please add more benefits for platinum members or else platinum members like myself will see no point in continuing to use grab anymore especially when theres competitors like gojek. (And also this isnt the first time it happened).

Okay thats for the grab travel, as for grabfood, the prices are ridiculously expensive as well as they have a “small order fee” if we did not hit the minimum amount. Same for grabfood, if theres no special benefits for platinum members, sooner or later platinum members like myself will boycott it and head over to foodpanda or other delivery services.

Platinum members used to earn points at a faster rates and that theres vouchers for us as and when, what happened to all of that? I am extremely disappointed in grab and hopes for a change soon, thanks.",1,No cabs at city area during midnight,Zi Jia,GrabFood
10,2021-01-03 03:49:32,False,"{'id': 20208906, 'body': 'Thank you for posting a review and we’re sorry to hear that your experience was not up to standards. Please reach out to us via our social media platforms so we can investigate your feedback further.', 'modified': '2021-01-06T05:40:21Z'}","Expensive, long wait time, inefficient customer service. Ordered Old Chang Kee 1.2km away from my house (10min walk). Order took more than an hour to reach, of which I had fallen asleep as I was too tired after work (that’s why ordered in). Driver left food on the floor beside the drain and sewage! I live in a landed unit and there’s way too many areas to leave the food away from the ground. Eg, hang on the gate, top on of the letterbox, on the platform beside my gate etc. But no, driver left it on the ground right beside the drain. Wish I could upload the picture here to show where the food was left at.

Contacted grab about it as food is unconsumable thereafter as I do not know what creature have come into contact with it ; rats, cats, cockroaches, ants, you name it. It has been 11 days and no one had reach out to me with regards to the issue. (Have reach out both via the helpline as well as email x2.)

I have been using AppStore for 11years and this is the first time I am writing a review here due to the worst experience I’ve ever encountered. Well done, Grab!",1,Uneducated grabfood driver,rareguest_0601,GrabFood
11,2020-12-27 11:23:41,True,"{'id': 19865842, 'body': ""This doesn't seem right. We want to take a closer look at this for you. Please reach out to us via the Help Centre or the social media platforms so we can connect.\r\n"", 'modified': '2020-12-27T11:23:41Z'}","Driver waiting at wrong place . I need to walk over despite restriction in walking with a stick and you charge me a $3 late fee that’s not right. I am not looking for a refund but to feedback the system may had error tracking  my position . I had a stroke some months back and had been attending therapy with this St Hilder  community center. You can trace all my records . I can’t go beyond centre area, despite my restriction in mobility I walked to the other side of block 11 . to make it convenient to driver . I don’t expect driver still charge me waiting time despite he went to different entrance . I am now not sure what to key in , should it be Blk 11 Jalan Batu of St Hilder Community centre ? I can’t struggle to suit your driver ever time . For your info I had no problem if I asked the centre to book a taxi for me, taxi will always arrived at the HDB car park without fail . Of course I try to avoid the booking fee if I use Grab . Thank You",3,Driver wait at wring place,eed a ride,GrabFood
12,2021-01-31 23:12:28,False,"{'id': 20798627, 'body': 'We’re sorry to hear about your experience. 😢Please help us to rate the driver immediately after your ride. Once you’ve rated your driver, you’ll be able to describe your experience specifically. We take this feedback very seriously, and it’ll be used to continuously improve Grab’s service standard to better serve passengers like you. Feel free to reach out to us via social media platforms to discuss your mode of payment issues. We will be happy to help! ', 'modified': '2021-02-02T06:28:52Z'}","Grab fares appear to have gone up. Extra 30 cts means I expect better digital service. Instead I have had more problems w mode of payment, w system holding to pick up point I select! 
Also inform drivers to fill up the gas tank before accepting a passenger! 
yesterday, app said it would arrive in 8 mins, then went to wrong place ( which I did not select). Thankfully just around corner. And when I embarked, driving tells me he is going to get gas! Since I own a car, I know it takes 10-15 mins to fill up tank as often have to queue to pay! This plus delayed arrival would have added total of 20- 25 mins on top of actual time to destination ? 
Driver also says his fuel gauge isn't working properly? He should use the device to gauge how far he has gone on current tank of gas, if it isn’t policy to have car in top working condition.",3,Time is money,switching to gojek?,GrabFood
13,2021-03-01 00:09:24,True,"{'id': 18437566, 'body': ""Yikes, that's not ideal at all. Please reach out to us via the Help Centre or the social media platforms so we can connect.\r\n"", 'modified': '2021-03-01T00:09:24Z'}","Every single time I order a new cab in a hurry it is always 12 minutes away and dropping off a passenger, and when I have no choice but to cancel I get penalised for it, if you are going to have drivers like this just don’t let them accept, today I was late for work because the only close cab I booked took a route 10 minutes longer to my location than the normal one, and when I cancelled I was charged 5$ I had to rebook almost 5 times to find a cab that was even remotely close to my location. Along with this the location services are horrible and glitchy, My iphone crashed 5 times today on the grab app, I always take the cab to work from my local MRT but it always thinks I am in my house which leads to many miscommunications and accidentally ordering drivers to my house, and when I type in MRT in the location search my location doesn’t even come up. I have been a platinum member for 4 years and if these problem are not fixed I am quitting this app",1,Terrible,Greatblade88,GrabFood
